Company_ID,Company_Name,Industry,Quarter,Revenue (USD),Profit (USD),Expenses (USD),Profit Margin (%),Debt (USD),Assets (USD),ROI (%),Stock Price (USD)
1,Beta Inc.,Transportation,Q1-2023,9578184,1420534,8157650,14.83,4358885,10760947,13.2,79.65
1,Beta Inc.,Transportation,Q2-2023,5252563,2593819,2658744,49.38,4358885,10760947,24.1,107.49
1,Beta Inc.,Transportation,Q3-2023,8141525,1869049,6272476,22.96,4358885,10760947,17.37,57.13
1,Beta Inc.,Transportation,Q4-2023,9836312,4053522,5782790,41.21,4358885,10760947,37.67,63.57
1,Beta Inc.,Transportation,Q1-2024,6123827,2228414,3895413,36.39,4358885,10760947,20.71,70.28
2,Kappa Technologies,Finance,Q1-2023,6897217,1497833,5399384,21.72,2461035,17091432,8.76,102.43
2,Kappa Technologies,Finance,Q2-2023,6310904,2805350,3505554,44.45,2461035,17091432,16.41,95.19
2,Kappa Technologies,Finance,Q3-2023,3108829,352495,2756334,11.34,2461035,17091432,2.06,162.17
2,Kappa Technologies,Finance,Q4-2023,3295086,1024322,2270764,31.09,2461035,17091432,5.99,79.27
2,Kappa Technologies,Finance,Q1-2024,8253943,3803060,4450883,46.08,2461035,17091432,22.25,152.07
3,Theta Holdings,Manufacturing,Q1-2023,5376226,1598550,3777676,29.73,6105497,21557864,7.42,194.52
3,Theta Holdings,Manufacturing,Q2-2023,8122922,3373274,4749648,41.53,6105497,21557864,15.65,184.25
3,Theta Holdings,Manufacturing,Q3-2023,2535232,1017769,1517463,40.15,6105497,21557864,4.72,57.27
3,Theta Holdings,Manufacturing,Q4-2023,3957438,745811,3211627,18.85,6105497,21557864,3.46,81.27
3,Theta Holdings,Manufacturing,Q1-2024,3822819,847026,2975793,22.16,6105497,21557864,3.93,51.54
4,Zeta Enterprises,Healthcare,Q1-2023,2142573,242475,1900098,11.32,1291013,17792234,1.36,67.7
4,Zeta Enterprises,Healthcare,Q2-2023,5386352,2245546,3140806,41.69,1291013,17792234,12.62,61.85
4,Zeta Enterprises,Healthcare,Q3-2023,4159403,759177,3400226,18.25,1291013,17792234,4.27,194.13
4,Zeta Enterprises,Healthcare,Q4-2023,7802828,2737442,5065386,35.08,1291013,17792234,15.39,187.5
4,Zeta Enterprises,Healthcare,Q1-2024,8055467,1167061,6888406,14.49,1291013,17792234,6.56,104.63
5,Gamma Ltd.,Manufacturing,Q1-2023,8565241,2396987,6168254,27.99,8947191,10124244,23.68,88.09
5,Gamma Ltd.,Manufacturing,Q2-2023,7845037,3532992,4312045,45.03,8947191,10124244,34.9,183.78
5,Gamma Ltd.,Manufacturing,Q3-2023,8962389,4133164,4829225,46.12,8947191,10124244,40.82,143.21
5,Gamma Ltd.,Manufacturing,Q4-2023,9054682,2033773,7020909,22.46,8947191,10124244,20.09,160.26
5,Gamma Ltd.,Manufacturing,Q1-2024,4502716,2225482,2277234,49.43,8947191,10124244,21.98,121.56
6,Theta Holdings,Energy,Q1-2023,4438404,1107273,3331131,24.95,7878260,7470992,14.82,77.8
6,Theta Holdings,Energy,Q2-2023,7016459,1490902,5525557,21.25,7878260,7470992,19.96,145.21
6,Theta Holdings,Energy,Q3-2023,8546679,1858525,6688154,21.75,7878260,7470992,24.88,163.85
6,Theta Holdings,Energy,Q4-2023,4867835,2032491,2835344,41.75,7878260,7470992,27.21,74.87
6,Theta Holdings,Energy,Q1-2024,9903267,3049656,6853611,30.79,7878260,7470992,40.82,71.6
7,Delta Solutions,Healthcare,Q1-2023,4862575,1381850,3480725,28.42,4333347,28233881,4.89,119.21
7,Delta Solutions,Healthcare,Q2-2023,4400965,843892,3557073,19.18,4333347,28233881,2.99,69.83
7,Delta Solutions,Healthcare,Q3-2023,4226018,1986252,2239766,47.0,4333347,28233881,7.03,82.16
7,Delta Solutions,Healthcare,Q4-2023,3029900,993282,2036618,32.78,4333347,28233881,3.52,197.08
7,Delta Solutions,Healthcare,Q1-2024,3466030,894854,2571176,25.82,4333347,28233881,3.17,191.89
8,Beta Inc.,Tech,Q1-2023,6677881,3273425,3404456,49.02,3360184,24878764,13.16,189.51
8,Beta Inc.,Tech,Q2-2023,3450633,711570,2739063,20.62,3360184,24878764,2.86,137.22
8,Beta Inc.,Tech,Q3-2023,2588213,1228732,1359481,47.47,3360184,24878764,4.94,74.17
8,Beta Inc.,Tech,Q4-2023,6523266,2770900,3752366,42.48,3360184,24878764,11.14,60.92
8,Beta Inc.,Tech,Q1-2024,5344993,1382083,3962910,25.86,3360184,24878764,5.56,89.41
9,Zeta Enterprises,Energy,Q1-2023,6577852,2941854,3635998,44.72,8069524,24538883,11.99,62.4
9,Zeta Enterprises,Energy,Q2-2023,8163259,2701108,5462151,33.09,8069524,24538883,11.01,61.39
9,Zeta Enterprises,Energy,Q3-2023,5674494,1573602,4100892,27.73,8069524,24538883,6.41,193.35
9,Zeta Enterprises,Energy,Q4-2023,5740746,2748566,2992180,47.88,8069524,24538883,11.2,159.39
9,Zeta Enterprises,Energy,Q1-2024,9809432,1430475,8378957,14.58,8069524,24538883,5.83,186.75
10,Omega Group,Tech,Q1-2023,8857316,1134043,7723273,12.8,6771179,25278773,4.49,116.94
10,Omega Group,Tech,Q2-2023,6876781,1117971,5758810,16.26,6771179,25278773,4.42,109.47
10,Omega Group,Tech,Q3-2023,5275059,1461571,3813488,27.71,6771179,25278773,5.78,198.74
10,Omega Group,Tech,Q4-2023,8608881,1383003,7225878,16.06,6771179,25278773,5.47,122.28
10,Omega Group,Tech,Q1-2024,8828471,1833384,6995087,20.77,6771179,25278773,7.25,85.06
11,Beta Inc.,Transportation,Q1-2023,3905475,980612,2924863,25.11,8592959,29362479,3.34,52.38
11,Beta Inc.,Transportation,Q2-2023,5527060,2158959,3368101,39.06,8592959,29362479,7.35,111.62
11,Beta Inc.,Transportation,Q3-2023,7250540,3040318,4210222,41.93,8592959,29362479,10.35,192.37
11,Beta Inc.,Transportation,Q4-2023,8131260,2263423,5867837,27.84,8592959,29362479,7.71,74.9
11,Beta Inc.,Transportation,Q1-2024,2270589,480423,1790166,21.16,8592959,29362479,1.64,63.58
12,Alpha Corp,Transportation,Q1-2023,6523435,2239657,4283778,34.33,2248575,27192656,8.24,97.83
12,Alpha Corp,Transportation,Q2-2023,8561770,1863332,6698438,21.76,2248575,27192656,6.85,137.34
12,Alpha Corp,Transportation,Q3-2023,4737378,778400,3958978,16.43,2248575,27192656,2.86,51.9
12,Alpha Corp,Transportation,Q4-2023,6533917,1416066,5117851,21.67,2248575,27192656,5.21,183.64
12,Alpha Corp,Transportation,Q1-2024,8585722,3579985,5005737,41.7,2248575,27192656,13.17,93.75
13,Epsilon Systems,Tech,Q1-2023,8643375,1662953,6980422,19.24,3507982,11642865,14.28,119.3
13,Epsilon Systems,Tech,Q2-2023,6698274,3284561,3413713,49.04,3507982,11642865,28.21,117.83
13,Epsilon Systems,Tech,Q3-2023,7660801,1235790,6425011,16.13,3507982,11642865,10.61,186.6
13,Epsilon Systems,Tech,Q4-2023,5268345,2143475,3124870,40.69,3507982,11642865,18.41,106.51
13,Epsilon Systems,Tech,Q1-2024,3870617,1547811,2322806,39.99,3507982,11642865,13.29,174.96
14,Alpha Corp,Finance,Q1-2023,8629438,950929,7678509,11.02,1701382,11043850,8.61,87.06
14,Alpha Corp,Finance,Q2-2023,2691449,471758,2219691,17.53,1701382,11043850,4.27,142.26
14,Alpha Corp,Finance,Q3-2023,9870128,4639268,5230860,47.0,1701382,11043850,42.01,156.09
14,Alpha Corp,Finance,Q4-2023,7817229,2264797,5552432,28.97,1701382,11043850,20.51,132.97
14,Alpha Corp,Finance,Q1-2024,2047697,680721,1366976,33.24,1701382,11043850,6.16,159.7
15,Kappa Technologies,Retail,Q1-2023,7235935,2711149,4524786,37.47,6269216,10708991,25.32,142.3
15,Kappa Technologies,Retail,Q2-2023,7150238,3512351,3637887,49.12,6269216,10708991,32.8,108.47
15,Kappa Technologies,Retail,Q3-2023,5131406,1562588,3568818,30.45,6269216,10708991,14.59,115.59
15,Kappa Technologies,Retail,Q4-2023,9690189,1998288,7691901,20.62,6269216,10708991,18.66,77.48
15,Kappa Technologies,Retail,Q1-2024,9148573,4125003,5023570,45.09,6269216,10708991,38.52,119.39
16,Omega Group,Manufacturing,Q1-2023,5274845,845993,4428852,16.04,2591259,8577712,9.86,130.14
16,Omega Group,Manufacturing,Q2-2023,8938723,3871318,5067405,43.31,2591259,8577712,45.13,183.49
16,Omega Group,Manufacturing,Q3-2023,3249946,623205,2626741,19.18,2591259,8577712,7.27,120.47
16,Omega Group,Manufacturing,Q4-2023,4468449,651925,3816524,14.59,2591259,8577712,7.6,80.64
16,Omega Group,Manufacturing,Q1-2024,6387249,2223016,4164233,34.8,2591259,8577712,25.92,147.47
17,Kappa Technologies,Retail,Q1-2023,3046451,1322471,1723980,43.41,4134577,6341002,20.86,109.09
17,Kappa Technologies,Retail,Q2-2023,3214781,1382432,1832349,43.0,4134577,6341002,21.8,162.8
17,Kappa Technologies,Retail,Q3-2023,7733317,3036568,4696749,39.27,4134577,6341002,47.89,168.58
17,Kappa Technologies,Retail,Q4-2023,8455614,4226549,4229065,49.99,4134577,6341002,66.65,92.56
17,Kappa Technologies,Retail,Q1-2024,5897940,2749988,3147952,46.63,4134577,6341002,43.37,150.02
18,Delta Solutions,Energy,Q1-2023,9536947,3581655,5955292,37.56,1387304,18701007,19.15,189.3
18,Delta Solutions,Energy,Q2-2023,3569932,1498448,2071484,41.97,1387304,18701007,8.01,115.49
18,Delta Solutions,Energy,Q3-2023,4073332,1538922,2534410,37.78,1387304,18701007,8.23,67.46
18,Delta Solutions,Energy,Q4-2023,8042575,3766209,4276366,46.83,1387304,18701007,20.14,116.31
18,Delta Solutions,Energy,Q1-2024,2623668,1271830,1351838,48.48,1387304,18701007,6.8,173.97
19,Epsilon Systems,Transportation,Q1-2023,6201922,2298601,3903321,37.06,2868964,25238397,9.11,77.12
19,Epsilon Systems,Transportation,Q2-2023,9544283,3162822,6381461,33.14,2868964,25238397,12.53,104.73
19,Epsilon Systems,Transportation,Q3-2023,6145405,1367248,4778157,22.25,2868964,25238397,5.42,129.37
19,Epsilon Systems,Transportation,Q4-2023,6682762,954460,5728302,14.28,2868964,25238397,3.78,192.54
19,Epsilon Systems,Transportation,Q1-2024,2845321,407931,2437390,14.34,2868964,25238397,1.62,74.29
20,Gamma Ltd.,Finance,Q1-2023,2594493,859739,1734754,33.14,7249611,22962046,3.74,110.43
20,Gamma Ltd.,Finance,Q2-2023,3686710,1704140,1982570,46.22,7249611,22962046,7.42,92.19
20,Gamma Ltd.,Finance,Q3-2023,6114433,1571731,4542702,25.71,7249611,22962046,6.84,81.69
20,Gamma Ltd.,Finance,Q4-2023,3666408,1423118,2243290,38.82,7249611,22962046,6.2,114.66
20,Gamma Ltd.,Finance,Q1-2024,2042887,921484,1121403,45.11,7249611,22962046,4.01,55.6
21,Epsilon Systems,Manufacturing,Q1-2023,7466890,3318798,4148092,44.45,8500522,25663253,12.93,110.96
21,Epsilon Systems,Manufacturing,Q2-2023,8304105,861902,7442203,10.38,8500522,25663253,3.36,164.04
21,Epsilon Systems,Manufacturing,Q3-2023,8227578,4033374,4194204,49.02,8500522,25663253,15.72,146.09
21,Epsilon Systems,Manufacturing,Q4-2023,2161444,365434,1796010,16.91,8500522,25663253,1.42,95.48
21,Epsilon Systems,Manufacturing,Q1-2024,3621707,1438162,2183545,39.71,8500522,25663253,5.6,152.5
22,Iota Ventures,Transportation,Q1-2023,4272858,718167,3554691,16.81,6664790,13725532,5.23,168.39
22,Iota Ventures,Transportation,Q2-2023,4023619,1474799,2548820,36.65,6664790,13725532,10.74,139.17
22,Iota Ventures,Transportation,Q3-2023,8282022,3787737,4494285,45.73,6664790,13725532,27.6,75.8
22,Iota Ventures,Transportation,Q4-2023,9000826,1015631,7985195,11.28,6664790,13725532,7.4,165.23
22,Iota Ventures,Transportation,Q1-2024,9163006,3360223,5802783,36.67,6664790,13725532,24.48,70.82
23,Gamma Ltd.,Healthcare,Q1-2023,2450602,652542,1798060,26.63,1706439,15833443,4.12,159.89
23,Gamma Ltd.,Healthcare,Q2-2023,8304271,3218664,5085607,38.76,1706439,15833443,20.33,176.56
23,Gamma Ltd.,Healthcare,Q3-2023,6512290,3009411,3502879,46.21,1706439,15833443,19.01,74.5
23,Gamma Ltd.,Healthcare,Q4-2023,3620762,1293051,2327711,35.71,1706439,15833443,8.17,97.5
23,Gamma Ltd.,Healthcare,Q1-2024,2468208,288523,2179685,11.69,1706439,15833443,1.82,91.39
24,Delta Solutions,Healthcare,Q1-2023,4638338,998693,3639645,21.53,9052722,18186646,5.49,64.99
24,Delta Solutions,Healthcare,Q2-2023,3568409,666789,2901620,18.69,9052722,18186646,3.67,166.93
24,Delta Solutions,Healthcare,Q3-2023,9995933,2488559,7507374,24.9,9052722,18186646,13.68,116.64
24,Delta Solutions,Healthcare,Q4-2023,4721027,2307432,2413595,48.88,9052722,18186646,12.69,64.9
24,Delta Solutions,Healthcare,Q1-2024,6574845,989355,5585490,15.05,9052722,18186646,5.44,189.18
25,Gamma Ltd.,Healthcare,Q1-2023,4897217,775547,4121670,15.84,3387134,8162304,9.5,185.25
25,Gamma Ltd.,Healthcare,Q2-2023,9906545,4622194,5284351,46.66,3387134,8162304,56.63,194.17
25,Gamma Ltd.,Healthcare,Q3-2023,3447344,1256467,2190877,36.45,3387134,8162304,15.39,153.34
25,Gamma Ltd.,Healthcare,Q4-2023,2160605,776749,1383856,35.95,3387134,8162304,9.52,137.78
25,Gamma Ltd.,Healthcare,Q1-2024,3280775,1078254,2202521,32.87,3387134,8162304,13.21,96.86
